R0:('P166_h', 'P166_t')
R1:('P103_h', 'P103_t')
R2:('P106_h', 'P106_t')
R3:('P21_h', 'P21_t')
R4:('P40_h', 'P40_t')
R5:('P25_h', 'P25_t')
R6:('P140_h', 'P140_t')
R7:('P735_h', 'P735_t')
R8:('P1412_h', 'P1412_t')
R9:('P184_h', 'P184_t')
R10:('P101_h', 'P101_t')
R11:('P27_h', 'P27_t')
R12:('P734_h', 'P734_t')
R13:('P22_h', 'P22_t')
R14:('P3373_h', 'P3373_t')
R15:('P20_h', 'P20_t')
R16:('P53_h', 'P53_t')
R17:('P1196_h', 'P1196_t')
R18:('P19_h', 'P19_t')
R19:('P509_h', 'P509_t')
R20:('P937_h', 'P937_t')
R21:('P552_h', 'P552_t')
R22:('P69_h', 'P69_t')
R23:('P737_h', 'P737_t')
R24:('P108_h', 'P108_t')
R25:('P1343_h', 'P1343_t')
R26:('P463_h', 'P463_t')
R27:('P451_h', 'P451_t')
R28:('P241_h', 'P241_t')
R29:('P1344_h', 'P1344_t')
R30:('P172_h', 'P172_t')
R31:('P641_h', 'P641_t')
R32:('P1050_h', 'P1050_t')
R33:('P551_h', 'P551_t')
R34:('P136_h', 'P136_t')
R35:('P102_h', 'P102_t')
R36:('P264_h', 'P264_t')
R37:('P410_h', 'P410_t')
R38:('P607_h', 'P607_t')
R39:('P39_h', 'P39_t')
R40:('P972_h', 'P972_t')
R41:('P54_h', 'P54_t')
R42:('P119_h', 'P119_t')
R43:('P2359_h', 'P2359_t')
R44:('P135_h', 'P135_t')
R45:('P1303_h', 'P1303_t')
R46:('P1853_h', 'P1853_t')
R47:('P413_h', 'P413_t')
R48:('P118_h', 'P118_t')
R49:('P1416_h', 'P1416_t')
R50:('P485_h', 'P485_t')
R51:('P1066_h', 'P1066_t')
R52:('P512_h', 'P512_t')
R53:('P26_h', 'P26_t')
R54:('P1327_h', 'P1327_t')
R55:('P511_h', 'P511_t')
R56:('P361_h', 'P361_t')
R57:('P185_h', 'P185_t')
R58:('P740_h', 'P740_t')
R59:('P412_h', 'P412_t')
R60:('P2596_h', 'P2596_t')
R61:('P1346_h', 'P1346_t')
R62:('P1576_h', 'P1576_t')
R63:('P1884_h', 'P1884_t')
R64:('P945_h', 'P945_t')
R65:('P793_h', 'P793_t')
R66:('P1321_h', 'P1321_t')
R67:('P423_h', 'P423_t')
R68:('P741_h', 'P741_t')
R69:('P3716_h', 'P3716_t')
R70:('P1532_h', 'P1532_t')
R71:('P802_h', 'P802_t')
R72:('P2632_h', 'P2632_t')
R73:('P1366_h', 'P1366_t')
R74:('P2348_h', 'P2348_t')
R75:('P1441_h', 'P1441_t')
R76:('P97_h', 'P97_t')
R77:('P1950_h', 'P1950_t')
R78:('P611_h', 'P611_t')
R79:('P1399_h', 'P1399_t')
R80:('P1038_h', 'P1038_t')
R81:('P1962_h', 'P1962_t')
R82:('P1411_h', 'P1411_t')
R83:('P2962_h', 'P2962_t')
R84:('P1889_h', 'P1889_t')
R85:('P470_h', 'P470_t')
R86:('P411_h', 'P411_t')
R87:('P647_h', 'P647_t')
R88:('P3448_h', 'P3448_t')
R89:('P812_h', 'P812_t')
R90:('P803_h', 'P803_t')
R91:('P263_h', 'P263_t')
R92:('P2416_h', 'P2416_t')
R93:('P1365_h', 'P1365_t')
R94:('P1290_h', 'P1290_t')
R95:('P1340_h', 'P1340_t')
R96:('P170_h', 'P170_t')
R97:('P495_h', 'P495_t')
R98:('P2578_h', 'P2578_t')
R99:('P91_h', 'P91_t')
R100:('P2358_h', 'P2358_t')
R101:('P138_h', 'P138_t')
R102:('P1731_h', 'P1731_t')
R103:('P66_h', 'P66_t')
R104:('P800_h', 'P800_t')
R105:('P1706_h', 'P1706_t')
R106:('P1347_h', 'P1347_t')
R107:('P1598_h', 'P1598_t')
R108:('P157_h', 'P157_t')
R109:('P2439_h', 'P2439_t')
R110:('P553_h', 'P553_t')
R111:('P1596_h', 'P1596_t')
R112:('P598_h', 'P598_t')
R113:('P460_h', 'P460_t')
R114:('P137_h', 'P137_t')
R115:('P1387_h', 'P1387_t')
R116:('P1875_h', 'P1875_t')
R117:('P407_h', 'P407_t')
R118:('P1142_h', 'P1142_t')
R119:('P2650_h', 'P2650_t')
R120:('P2925_h', 'P2925_t')
R121:('P279_h', 'P279_t')
R122:('P286_h', 'P286_t')
R123:('P1035_h', 'P1035_t')
R124:('P2094_h', 'P2094_t')
R125:('P859_h', 'P859_t')
R126:('P1830_h', 'P1830_t')
R127:('P841_h', 'P841_t')
R128:('P159_h', 'P159_t')
R129:('P3342_h', 'P3342_t')
R130:('P941_h', 'P941_t')
R131:('P358_h', 'P358_t')
R132:('P156_h', 'P156_t')
R133:('P468_h', 'P468_t')
R134:('P175_h', 'P175_t')
R135:('P3919_h', 'P3919_t')
R136:('P488_h', 'P488_t')
R137:('P3602_h', 'P3602_t')
R138:('P57_h', 'P57_t')
R139:('P1039_h', 'P1039_t')
R140:('P248_h', 'P248_t')
R141:('P1037_h', 'P1037_t')
R142:('P155_h', 'P155_t')
